"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
260 2 1 7 2 21 3 1 2 7 NA 46
260 3 2 NA 2 20 3 1 2 7 NA 46
261 2 2 NA 1 NA NA NA 1 1 1 85
262 2 2 2 1 NA 2 1 1 2 1 73
262 3 1 2 NA 20 8 1 1 2 1 73
262 4 1 NA 1 43 10 1 1 2 1 73
263 2 1 1 NA 13 3 1 NA 1 NA 34
263 3 NA 1 1 37 12 1 NA 1 NA 34
264 2 NA 1 1 22 12 2 1 NA NA 21
264 3 NA 1 1 22 12 2 1 NA NA 21
264 4 NA NA 1 22 12 2 1 NA NA 21
265 2 2 NA 1 NA 2 1 NA 1 1 71
265 3 1 1 1 45 3 1 NA 1 1 71
266 2 2 1 NA 29 NA 2 1 NA 1 28
267 2 1 1 NA 47 3 NA 2 NA 1 69
267 3 NA 1 1 NA NA NA 2 NA 1 69
268 2 NA 1 1 31 NA NA 2 NA NA 58
269 2 2 1 1 NA 2 1 1 NA 1 36
269 3 2 1 NA NA 3 1 1 NA 1 36
270 2 NA NA 1 52 NA NA 1 1 NA 60
271 2 2 1 1 55 2 1 1 3 1 51
272 2 1 NA 1 79 2 1 2 1 NA 69
273 2 2 1 1 61 12 1 2 NA 1 60
274 2 2 1 1 49 NA 1 1 1 1 53
274 3 2 NA 1 18 4 1 1 1 1 53
274 4 1 NA NA 14 4 1 1 1 1 53
275 2 2 1 1 NA NA NA 1 NA 1 25
276 2 NA 1 1 NA 3 NA 2 1 NA 52
276 3 1 NA 1 26 3 NA 2 1 NA 52
277 2 1 1 1 35 2 1 NA NA 1 32
277 3 NA 1 NA 4 3 1 NA NA 1 32
277 4 2 1 1 2 NA 1 NA NA 1 32
278 2 2 NA 1 80 2 1 NA NA 1 79
279 2 1 1 1 NA 3 1 NA NA NA 44
280 2 2 NA 1 39 12 NA 2 1 1 64
280 3 1 NA 1 16 NA NA 2 1 1 64
281 2 2 1 NA 31 NA 2 NA 1 1 33
282 2 NA 1 1 NA NA 1 2 1 1 38
282 3 2 1 NA 8 3 1 2 1 1 38
282 4 2 NA NA NA 3 1 2 1 1 38
283 2 2 1 1 78 NA 1 1 1 NA 78
284 2 2 NA NA 57 12 1 NA 1 NA 64
285 2 2 NA 2 44 2 NA 1 NA NA 45
285 3 1 1 2 20 3 NA 1 NA NA 45
285 4 1 1 2 17 3 NA 1 NA NA 45
286 2 NA NA 1 9 NA 2 NA 2 1 35
286 3 NA 2 1 NA NA 2 NA 2 1 35
287 2 2 1 NA NA NA NA 1 1 1 78
288 2 1 NA 1 NA 2 1 NA NA 1 77
289 2 1 1 1 72 2 NA 2 1 1 61
290 2 1 NA 1 62 2 1 2 1 1 56
291 2 NA 2 1 25 3 NA NA NA 1 45
291 3 NA NA 1 22 NA NA NA NA 1 45
292 2 2 1 1 NA 2 1 1 1 1 66
293 2 2 NA 1 NA 2 2 1 NA 1 38
293 3 1 1 1 18 3 2 1 NA 1 38
293 4 NA 1 NA 15 NA 2 1 NA 1 38
294 2 1 1 1 53 12 1 2 1 1 57
295 2 2 1 1 NA 2 NA NA NA NA 83
296 2 1 2 3 2 NA 2 NA 2 3 30
297 2 NA 1 1 48 2 1 2 NA 1 47
297 3 2 1 1 6 3 1 2 NA 1 47
298 2 NA NA 1 NA 2 1 1 3 1 71
298 3 NA 3 NA 17 NA 1 1 3 1 71
299 2 2 1 1 NA 2 1 1 NA 1 43
299 3 2 1 NA 17 NA 1 1 NA 1 43
299 4 2 1 NA 14 3 1 1 NA 1 43
300 2 1 NA 1 61 6 1 1 1 1 54
301 2 NA 1 NA 60 2 NA 2 NA NA 50
301 3 2 1 2 15 3 NA 2 NA NA 50
302 2 2 NA 3 58 2 NA 1 NA 1 58
302 3 NA NA 3 24 3 NA 1 NA 1 58
303 2 2 NA 1 32 2 1 1 1 1 33
303 3 2 NA 1 8 3 1 1 1 1 33
303 4 1 NA 1 NA NA 1 1 1 1 33
304 2 2 1 1 NA 2 2 1 NA NA 43
305 2 1 NA 1 39 NA 1 2 1 NA 36
305 3 1 NA 1 11 NA 1 2 1 NA 36
305 4 NA NA 1 9 NA 1 2 1 NA 36
306 2 2 1 1 NA 2 NA 1 1 NA 52
307 2 2 1 1 NA 2 1 NA NA NA 71
308 2 1 1 1 48 2 1 2 1 1 48
308 3 2 1 1 20 3 1 2 1 1 48
308 4 2 1 1 16 NA 1 2 1 1 48
309 2 1 1 1 58 2 1 NA 1 1 58
310 2 NA 1 NA 41 2 NA NA 1 2 31
310 3 2 1 2 35 6 NA NA 1 2 31
310 4 NA NA 2 33 6 NA NA 1 2 31
311 2 NA NA 1 79 NA 2 NA 1 1 84
312 2 2 1 NA 25 12 1 1 1 1 37
313 2 NA 1 1 46 NA NA NA NA 1 72
314 2 2 NA 1 NA 2 1 1 1 1 52
315 2 2 1 NA NA 2 1 NA NA 1 52
316 2 NA 1 1 NA 2 1 NA 1 1 43
317 2 NA 1 1 53 2 1 NA 1 1 58
318 2 2 1 NA 58 2 1 NA NA 1 58
319 2 2 NA 1 48 2 NA 1 1 1 38
320 2 2 1 1 76 NA 1 1 NA 1 76
321 2 2 NA 1 31 12 1 1 1 NA 36
321 3 2 NA 1 6 13 1 1 1 NA 36
322 2 NA NA NA 59 12 2 2 1 2 59
323 2 NA 1 1 66 2 1 1 NA 1 65
324 2 1 NA NA NA 2 1 NA 1 1 68
